Columna,N,Valor
Analista 1,1,12.55
Analista 1,2,12.46
Analista 1,3,12.5
Analista 1,4,12.47
Analista 1,5,12.42
Analista 1,6,12.47
Analista 1,7,12.58
Analista 1,8,12.4
Analista 2,1,12.5
Analista 2,2,12.49
Analista 2,3,12.6
Analista 2,4,12.51
Analista 2,5,12.47
Analista 2,6,12.57
Analista 2,7,12.4
Analista 2,8,12.52
Analista 3,1,12.54
Analista 3,2,12.5
Analista 3,3,12.53
Analista 3,4,12.43
Analista 3,5,12.44
Analista 3,6,12.53
Analista 3,7,12.54
Analista 3,8,12.5
Analista 4,1,12.5
Analista 4,2,12.46
Analista 4,3,12.45
Analista 4,4,12.42
Analista 4,5,12.48
Analista 4,6,12.4
Analista 4,7,12.49
Analista 4,8,12.56
